candidate,family,deployable,split,slippage_bps,start,end,total_return_pct,cagr_pct,volatility_pct,sharpe,sortino,max_drawdown_pct,calmar,profit_factor,expectancy_trade_pct,win_rate_pct,avg_gain_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,entries,exits,entries_per_month,zero_entry_months,time_in_market_pct,average_gross_exposure_pct,annual_turnover_x,entry_signals,benchmark_return_pct,final_equity
breakout_20,breakout,True,train,5.0,2020-01-02,2022-12-30,11.21388514949535,3.615501425618528,7.014153567226806,0.5402975539196926,0.7042141774399621,-9.000846730141332,0.4016845896854592,1.4624151074848046,0.8152644851372878,43.47826086956522,5.458291712594145,-2.7562949205987555,25.949134984341228,-8.387822146018873,92,92,2.5555555555555554,6,78.3068783068783,34.71606889053949,9.279133190263817,276,23.99457443201087,111213.88514949534
breakout_20,breakout,True,validation,5.0,2023-01-03,2024-06-28,12.22140117940629,8.07990677557413,5.388045394956317,1.4690048839940484,2.2431774232815442,-3.2278914466382203,2.5031531912230753,3.496805581874431,1.8024542046213343,53.84615384615385,4.695885390567194,-1.5732155123155023,14.241130756297338,-3.6624561348869524,43,39,2.388888888888889,4,74.8663101604278,36.9359745335825,8.278507739556089,174,44.651846208266456,112221.40117940628
breakout_20,breakout,True,test,5.0,2024-07-01,2026-07-31,5.224209668461288,2.4774710606895844,6.2075654758924665,0.4263779423511242,0.5585204312567014,-8.448856712710773,0.2932315158052551,1.1707423408009356,0.27361905223142136,32.94117647058823,5.296067799915204,-2.1935487536483307,30.528351192720613,-10.410632846750946,88,85,3.52,2,86.04206500956023,38.85906538378361,12.478978252029469,203,40.15835193906074,105224.20966846129
breakout_20,breakout,True,full,5.0,2020-01-02,2026-07-31,33.31849337174402,4.469746667390928,6.4328950095626976,0.7138078962454631,0.9534396292453746,-9.000846730141332,0.496591798683005,1.603954255401298,0.8636857610841503,42.592592592592595,5.169060701506855,-2.3306246785843068,30.52835119272061,-10.410632846750943,219,216,2.7721518987341773,12,80.09679370840895,36.6482323693464,10.00238294474235,649,153.31637843336728,133318.49337174403
breakout_20,breakout,True,full,10.0,2020-01-02,2026-07-31,29.023953861492856,3.9509048273537406,6.429291971709976,0.6365205878962119,0.8476371104861933,-9.372504561674743,0.4215420543522004,1.5087676020883365,0.7628724315811538,41.66666666666667,5.177444885872058,-2.390393607198063,30.39788800788874,-10.500177486356701,219,216,2.7721518987341773,12,80.09679370840895,36.64054199245086,9.99091513709162,649,153.31637843336728,129023.95386149286
breakout_20,breakout,True,full,20.0,2020-01-02,2026-07-31,22.229106173074854,3.0992654710561007,6.460603664849815,0.5060689996923181,0.6722177356109169,-10.11060638275496,0.30653606259880983,1.36256949213607,0.5988551980837115,39.1705069124424,5.390069664753728,-2.4863965418174354,30.13735224656274,-10.678998667844892,220,217,2.7848101265822787,12,80.09679370840895,36.789815885199104,10.013412323644244,641,153.31637843336728,122229.10617307486
breakout_50,breakout,True,train,5.0,2020-01-02,2022-12-30,9.046766725604272,2.9363783770675944,6.441873002007934,0.4804672252374403,0.6275342649158856,-5.730472658584629,0.5124146910759105,1.4276770512620771,0.7445063186784007,47.5609756097561,4.861744621833942,-2.989733072555695,25.949134984341242,-6.30876020016501,82,82,2.2777777777777777,8,70.8994708994709,29.966655382195604,8.243844491271217,198,23.99457443201087,109046.76672560428
breakout_50,breakout,True,validation,5.0,2023-01-03,2024-06-28,9.658021554098495,6.409988161708369,4.984497609444701,1.2713109085390621,1.9028247317271993,-4.095093191002208,1.5652850528023337,2.9960014693121253,1.6539202578841419,50.0,4.970136795708606,-1.662296279940322,14.241130756297322,-3.7921164461887438,36,32,2.0,4,68.44919786096256,32.34423899359896,6.875922004833851,129,44.651846208266456,109658.0215540985
breakout_50,breakout,True,test,5.0,2024-07-01,2026-07-31,8.02848605457902,3.781013197788452,6.064661267810602,0.643955167387002,0.864208696952706,-7.790071730295544,0.4853630786330392,1.4930859378996402,0.6422199401628603,33.33333333333333,5.7593826723595845,-1.916361425935502,24.799171080946127,-5.877927419670722,71,69,2.84,6,79.73231357552581,35.014184076315324,10.102182708498452,146,40.15835193906074,108028.48605457901
breakout_50,breakout,True,full,5.0,2020-01-02,2026-07-31,31.14919395657141,4.2094648158802705,6.030040367184087,0.715837848275221,0.9621163496424999,-7.846843541251925,0.5364532622258289,1.7278400567164325,0.9726747448121378,43.71584699453552,5.180905917060123,-2.295854321011541,25.949134984341242,-6.30876020016501,185,183,2.3417721518987342,18,73.26073805202662,32.22218254443161,8.438856683114775,469,153.31637843336728,131149.1939565714
